NumeroTicket|ItemID|Item|Resumen|Ubicacion|ModoReporte|Estado|FechaCreacion|FechaTermino|FechaCierre|Prioridad
WO0000005201555|121|INODORO FLUXOMETRO|REVISAR|LA FONTANA - 193054|Web HD|Cerrado|2025-05-04|06-05-25|09/05/2025|1
WO0000005201903|108|FOCO FLOURESCENTES|CAMBIAR|DIAGONAL - 285003|Web HD|Cerrado|2025-05-04|05-05-25|08/05/2025|3
WO0000005201907|106|FOCO AHORRADOR|CAMBIAR|DIAGONAL - 285003|Web HD|Cerrado|2025-05-04|05-05-25|08/05/2025|1
WO0000005200764|15|ATM|REVISAR|MOLICENTRO - 193004|Web HD|Cerrado|2025-05-04|06-05-25|09/05/2025|3
WO0000005201121|65|CREDENZA CERRADURA|REEMPLAZAR|LOS RUISE ORES - 191115|Web HD|Cerrado|2025-05-04|04-05-25|07/05/2025|3
WO0000005201118|65|CREDENZA CERRADURA|REEMPLAZAR|LOS RUISE ORES - 191115|Web HD|Cerrado|2025-05-04|04-05-25|07/05/2025|3
WO0000005201599|31|CAJA / TAPA DE PASO|REVISAR|LA NEGRITA - 215004|Web HD|Cerrado|2025-05-04|04-05-25|07/05/2025|1
WO0000005202430|123|INODOROS|REVISAR|VITARTE - 191043|Web HD|Cerrado|2025-05-04|06-05-25|09/05/2025|1
WO0000005200738|94|ESTACION MANUAL|REPARAR|MALL AVENTURA PLAZA AREQUIPA - 215011|Web HD|Cerrado|2025-05-04|07-05-25|10/05/2025|1
WO0000005201572|171|PISOS|RESANAR|TOWN SITE - 385001|Web HD|Terminado|2025-05-04|22-05-25|22/05/2025|1
WO0000005201598|221|SILLAS|REPARAR|MALL AVENTURA PLAZA AREQUIPA - 215011|Web HD|Cerrado|2025-05-04|04-05-25|07/05/2025|1
WO0000005201534|69|DETECTOR DE BILLETES|REPARAR|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-04|04-05-25|07/05/2025|3
WO0000005201540|69|DETECTOR DE BILLETES|REPARAR|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-04|04-05-25|07/05/2025|3
WO0000005201535|69|DETECTOR DE BILLETES|REPARAR|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-04|04-05-25|07/05/2025|3
WO0000005203411|79|DVR|REPARAR|SAN ROMAN - 405003|Web HD|Cerrado|2025-05-04|06-05-25|09/05/2025|3
WO0000005203410|44|CAMARA CONVENCIONAL|REPARAR|AYACUCHO - 220000|Web HD|Cerrado|2025-05-04|08-05-25|11/05/2025|3
WO0000005201904|249|TOMACORRIENTES|REVISAR|DIAGONAL - 285003|Web HD|Cerrado|2025-05-04|05-05-25|08/05/2025|3
WO0000005201543|154|OFICINA|FUMIGAR|COLONIAL - 192035|Web HD|Cerrado|2025-05-04|11-05-25|14/05/2025|3
WO0000005201909|106|FOCO AHORRADOR|REVISAR|DIAGONAL - 285003|Web HD|Cerrado|2025-05-04|05-05-25|08/05/2025|1
WO0000005202429|21|BOMBAS DE AGUA|REVISAR|VITARTE - 191043|Web HD|Cerrado|2025-05-04|13-05-25|16/05/2025|2
WO0000005201900|111|GRIFERIA|REVISAR|LA NEGRITA - 215004|Web HD|Cerrado|2025-05-04|04-05-25|07/05/2025|1
WO0000005205204|32|CAJA BUZON|REPARAR|CAMANA - 250000|Web HD|Rechazado|2025-05-05|||1
WO0000005205270|35|CAJA PULMON|REPARAR|CHOSICA - 191075|Web HD|Cerrado|2025-05-05|07-05-25|10/05/2025|3
WO0000005203959|221|SILLAS|REPARAR|HUAYCAN - 191085|Web HD|Rechazado|2025-05-05|||1
WO0000005204476|56|CONTADOR DE BILLETES|REPARAR|HUAYCAN - 191085|Web HD|Cerrado|2025-05-05|05-05-25|08/05/2025|2
WO0000005204487|56|CONTADOR DE BILLETES|REPARAR|RAUL FERRERO - 193012|Web HD|Cerrado|2025-05-05|07-05-25|10/05/2025|1
WO0000005204862|190|PUERTA / MAMPARA CERRADURA|DUPLICADO DE LLAVE|CHACLACAYO - 191074|Web HD|Cerrado|2025-05-05|05-05-25|08/05/2025|1
WO0000005204851|240|TECHO /BALDOSAS|CAMBIAR|CHACLACAYO - 191074|Web HD|Cerrado|2025-05-05|05-05-25|08/05/2025|2
WO0000005204884|22|BOVEDA|APERTURAR|PISCO - 470000|Web HD|Rechazado|2025-05-05|||1
WO0000005204494|188|PUERTA / MAMPARA|REPARAR|PUNO - 495000|Web HD|Cerrado|2025-05-05|14-05-25|17/05/2025|2
WO0000005204475|65|CREDENZA CERRADURA|DUPLICADO DE LLAVE|HUAYCAN - 191085|Web HD|Cerrado|2025-05-05|05-05-25|08/05/2025|2
WO0000005203958|154|OFICINA|FUMIGAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-05-05|27-05-25|30/05/2025|1
WO0000005205210|240|TECHO /BALDOSAS|CAMBIAR|ILO - 385000|Web HD|Cerrado|2025-05-05|28-05-25|31/05/2025|3
WO0000005205810|232|TABLERO ELECTRICO|REVISAR|LA NEGRITA - 215004|Web HD|Cerrado|2025-05-05|06-05-25|09/05/2025|3
WO0000005207266|108|FOCO FLOURESCENTES|CAMBIAR|PLAZA SAN MARTIN - 191004|Web HD|Cerrado|2025-05-06|06-05-25|09/05/2025|1
WO0000005207708|29|CABLE VGA|REEMPLAZAR|MOQUEGUA - 430000|Web HD|Cerrado|2025-05-06|20-06-25|23/06/2025|2
WO0000005207279|154|OFICINA|FUMIGAR|ICA - 380000|Web HD|Cerrado|2025-05-06|13-05-25|16/05/2025|2
WO0000005207283|130|LAVATORIO|REPARAR|CENTRO CIVICO - 191105|Web HD|Cerrado|2025-05-06|06-05-25|09/05/2025|1
WO0000005208199|16|ATRIL|REPARAR|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-06|11-05-25|14/05/2025|1
WO0000005209006|16|ATRIL|REPARAR|RAUL FERRERO - 193012|Web HD|Cerrado|2025-05-06|11-05-25|14/05/2025|1
WO0000005207724|57|CONTADOR DE MONEDAS|REPARAR|VENEZUELA - 191026|Web HD|Cerrado|2025-05-06|08-05-25|11/05/2025|2
WO0000005209007|154|OFICINA|FUMIGAR|CENTRO CIVICO - 191105|Web HD|Cerrado|2025-05-06|22-05-25|25/05/2025|1
WO0000005207268|239|TANQUES ELEVADOS CISTERNAS Y POZOS|REPARAR|ICA - 380000|Web HD|Cerrado|2025-05-06|22-05-25|25/05/2025|3
WO0000005207278|190|PUERTA / MAMPARA CERRADURA|DUPLICADO DE LLAVE|MUSA - 193050|Web HD|Cerrado|2025-05-06|07-05-25|10/05/2025|2
WO0000005207294|190|PUERTA / MAMPARA CERRADURA|DUPLICADO DE LLAVE|UMACOLLO - 215009|Web HD|Cerrado|2025-05-06|12-05-25|15/05/2025|2
WO0000005208117|31|CAJA / TAPA DE PASO|REVISAR|LA NEGRITA - 215004|Web HD|Cerrado|2025-05-06|06-05-25|09/05/2025|2
WO0000005208116|31|CAJA / TAPA DE PASO|REVISAR|LA NEGRITA - 215004|Web HD|Cerrado|2025-05-06|06-05-25|09/05/2025|3
WO0000005207221|57|CONTADOR DE MONEDAS|REPARAR|VENEZUELA - 191026|Web HD|Rechazado|2025-05-06|||3
WO0000005207267|5|AIRE ACONDICIONADO|REPARAR|CHACLACAYO - 191074|Web HD|Cerrado|2025-05-06|12-05-25|15/05/2025|2
WO0000005206793|5|AIRE ACONDICIONADO|REPARAR|MERCADO CENTRAL - 191002|Web HD|Cerrado|2025-05-06|07-05-25|10/05/2025|3
WO0000005207222|56|CONTADOR DE BILLETES|REPARAR|VENEZUELA - 191026|Web HD|Rechazado|2025-05-06|||3
WO0000005207744|192|PUERTA/MAMPARA BRAZO HIDRAULICO|REPARAR|CAYMA - 215002|Web HD|Cerrado|2025-05-06|05-06-25|08/06/2025|2
WO0000005206799|57|CONTADOR DE MONEDAS|REPARAR|ALFONSO UGARTE - 191089|Web HD|Rechazado|2025-05-06|||1
WO0000005206792|13|ASCENSOR DISCAPACITADO|REVISAR|MARIANO MELGAR - 215014|Web HD|Cerrado|2025-05-06|12-05-25|15/05/2025|1
WO0000005207282|128|LAMPARA DE EMERGENCIA|REPARAR|CENTRO CIVICO - 191105|Web HD|Cerrado|2025-05-06|06-05-25|09/05/2025|1
WO0000005207224|111|GRIFERIA|REVISAR|RAUL FERRERO - 193012|Web HD|Cerrado|2025-05-06|06-05-25|09/05/2025|1
WO0000005210998|31|CAJA / TAPA DE PASO|REVISAR|LARAPA - 285005|Web HD|Cerrado|2025-05-07|07-05-25|10/05/2025|3
WO0000005210059|64|CREDENZA|REPARAR|MUSA - 193050|Web HD|Cerrado|2025-05-07|12-05-25|15/05/2025|2
WO0000005210958|69|DETECTOR DE BILLETES|REPARAR|CAYMA - 215002|Web HD|Cerrado|2025-05-07|04-06-25|07/06/2025|3
WO0000005210526|108|FOCO FLOURESCENTES|CAMBIAR|JAUREGUI - 405005|Web HD|Cerrado|2025-05-07|15-06-25|18/06/2025|3
WO0000005210940|106|FOCO AHORRADOR|REVISAR|COLONIAL - 192035|Web HD|Cerrado|2025-05-07|19-05-25|22/05/2025|1
WO0000005211391|160|PANEL DE ALARMAS|REPARAR|SAN ROMAN - 405003|Web HD|Cerrado|2025-05-07|09-05-25|12/05/2025|3
WO0000005210996|108|FOCO FLOURESCENTES|CAMBIAR|LARAPA - 285005|Web HD|Cerrado|2025-05-07|07-05-25|10/05/2025|2
WO0000005212357|55|CONTACTO MAGNETICO|REPARAR|MUSA - 193050|Web HD|Cerrado|2025-05-07|11-05-25|14/05/2025|3
WO0000005210982|43|CAJONERA CERRADURA|REEMPLAZAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-05-07|12-05-25|15/05/2025|1
WO0000005210968|56|CONTADOR DE BILLETES|REPARAR|CAYMA - 215002|Web HD|Cerrado|2025-05-07|02-06-25|05/06/2025|1
WO0000005210957|241|TECHO /BALDOSAS FILTRACION|CAMBIAR|IMPERIAL - 255001|Web HD|Cerrado|2025-05-07|21-05-25|24/05/2025|1
WO0000005210984|108|FOCO FLOURESCENTES|CAMBIAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-05-07|13-05-25|16/05/2025|2
WO0000005211318|56|CONTADOR DE BILLETES|REPARAR|PUERTO MALDONADO - 485000|Web HD|Rechazado|2025-05-07|||1
WO0000005210961|56|CONTADOR DE BILLETES|REPARAR|PURUCHUCO - 191020|Web HD|Rechazado|2025-05-07|||3
WO0000005211322|240|TECHO /BALDOSAS|CAMBIAR|PUERTO MALDONADO - 485000|Web HD|Rechazado|2025-05-07|||1
WO0000005211317|56|CONTADOR DE BILLETES|REPARAR|PUERTO MALDONADO - 485000|Web HD|Rechazado|2025-05-07|||3
WO0000005210952|130|LAVATORIO|REPARAR|IMPERIAL - 255001|Web HD|Cerrado|2025-05-07|11-05-25|14/05/2025|3
WO0000005210506|249|TOMACORRIENTES|REVISAR|GRAU (LIMA) - 191005|Web HD|Cerrado|2025-05-07|08-05-25|11/05/2025|1
WO0000005211316|56|CONTADOR DE BILLETES|REPARAR|PUERTO MALDONADO - 485000|Web HD|Rechazado|2025-05-07|||3
WO0000005210096|16|ATRIL|REPARAR|HUAYCAN - 191085|Web HD|Cerrado|2025-05-07|13-05-25|16/05/2025|1
WO0000005210977|43|CAJONERA CERRADURA|APERTURAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-05-07|12-05-25|15/05/2025|2
WO0000005210949|221|SILLAS|REPARAR|PUNO - 495000|Web HD|Cerrado|2025-05-07|14-05-25|17/05/2025|1
WO0000005210511|183|POZO SEPTICO|LIMPIAR|URUBAMBA - 285009|Web HD|Cerrado|2025-05-07|14-05-25|17/05/2025|1
WO0000005211320|108|FOCO FLOURESCENTES|CAMBIAR|PUERTO MALDONADO - 485000|Web HD|Terminado|2025-05-07|20-05-25|20/05/2025|1
WO0000005210502|154|OFICINA|FUMIGAR|LUREN - 380004|Web HD|Cerrado|2025-05-07|13-05-25|16/05/2025|1
WO0000005210062|136|LLAVE SHUNT|REPARAR|VENEZUELA - 191026|Web HD|Cerrado|2025-05-07|07-05-25|10/05/2025|1
WO0000005211305|108|FOCO FLOURESCENTES|REVISAR|SOCABAYA - 215017|Web HD|Rechazado|2025-05-07|||3
WO0000005212965|15|ATM|REVISAR|MOLICENTRO - 193004|Web HD|Cerrado|2025-05-08|12-05-25|15/05/2025|2
WO0000005213311|123|INODOROS|REVISAR|CAYMA - 215002|Web HD|Cerrado|2025-05-08|08-05-25|11/05/2025|2
WO0000005213328|257|URINARIOS|REVISAR|CAYMA - 215002|Web HD|Cerrado|2025-05-08|18-06-25|21/06/2025|1
WO0000005212999|111|GRIFERIA|REVISAR|CAYMA - 215002|Web HD|Cerrado|2025-05-08|08-05-25|11/05/2025|2
WO0000005213907|65|CREDENZA CERRADURA|DUPLICADO DE LLAVE|PLAZA SAN MARTIN - 191004|Web HD|Cerrado|2025-05-08|08-05-25|11/05/2025|3
WO0000005213982|31|CAJA / TAPA DE PASO|REVISAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-08|08-05-25|11/05/2025|3
WO0000005213987|31|CAJA / TAPA DE PASO|REVISAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-08|08-05-25|11/05/2025|3
WO0000005213374|240|TECHO /BALDOSAS|CAMBIAR|GRAU (LIMA) - 191005|Web HD|Cerrado|2025-05-08|15-05-25|18/05/2025|3
WO0000005212985|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Rechazado|2025-05-08|||1
WO0000005212958|117|IMANTADO|CONFECCIONAR|PUERTO MALDONADO - 485000|Web HD|Cerrado|2025-05-08|16-05-25|19/05/2025|2
WO0000005213950|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-05-08|11-05-25|14/05/2025|2
WO0000005213318|108|FOCO FLOURESCENTES|CAMBIAR|LA NEGRITA - 215004|Web HD|Cerrado|2025-05-08|12-05-25|15/05/2025|1
WO0000005214400|227|SISTEMA DE VIDEO|REPARACION|SAN ROMAN - 405003|Web HD|Cerrado|2025-05-08|25-05-25|28/05/2025|2
WO0000005213334|56|CONTADOR DE BILLETES|REPARAR|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-08|12-05-25|15/05/2025|2
WO0000005213998|190|PUERTA / MAMPARA CERRADURA|REEMPLAZAR|SAN ROMAN - 405003|Web HD|Cerrado|2025-05-08|13-05-25|16/05/2025|3
WO0000005213979|130|LAVATORIO|REPARAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-08|08-05-25|11/05/2025|3
WO0000005213381|130|LAVATORIO|REPARAR|PLAZA SAN MARTIN - 191004|Web HD|Cerrado|2025-05-08|13-05-25|16/05/2025|3
WO0000005214468|154|OFICINA|FUMIGAR|VENEZUELA - 191026|Web HD|Cerrado|2025-05-08|18-05-25|21/05/2025|1
WO0000005213981|123|INODOROS|REVISAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-08|08-05-25|11/05/2025|1
WO0000005213316|43|CAJONERA CERRADURA|REEMPLAZAR|ILO - 385000|Web HD|Cerrado|2025-05-08|27-05-25|30/05/2025|1
WO0000005215763|56|CONTADOR DE BILLETES|REPARAR|AYACUCHO - 220000|Web HD|Rechazado|2025-05-09|||1
WO0000005215764|214|SENSOR DE ANIEGO|REPARAR|SICUANI - 533000|Web HD|Cerrado|2025-05-09|12-05-25|15/05/2025|3
WO0000005215726|71|DETECTOR DE HUMO|REPARAR|ICA - 380000|Web HD|Rechazado|2025-05-09|14-05-25|14/05/2025|1
WO0000005217866|43|CAJONERA CERRADURA|DUPLICADO DE LLAVE|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|1
WO0000005218220|163|PARED|RESANAR|COLONIAL - 192035|Web HD|Cerrado|2025-05-11|18-05-25|21/05/2025|2
WO0000005217878|43|CAJONERA CERRADURA|DUPLICADO DE LLAVE|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|3
WO0000005217804|251|TUBERIA DE AGUA|REPARAR|DIAGONAL - 285003|Web HD|Terminado|2025-05-11|20-05-25|20/05/2025|2
WO0000005217354|164|PARED MAYOLICA|RESANAR|JULIACA - 405000|Web HD|Cerrado|2025-05-11|22-06-25|25/06/2025|1
WO0000005216858|111|GRIFERIA|REVISAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|3
WO0000005218200|5|AIRE ACONDICIONADO|REPARAR|CAILLOMA - 191098|Web HD|Cerrado|2025-05-11|13-05-25|16/05/2025|3
WO0000005218285|108|FOCO FLOURESCENTES|CAMBIAR|QUILLABAMBA - 505000|Web HD|Cerrado|2025-05-11|14-05-25|17/05/2025|2
WO0000005217315|188|PUERTA / MAMPARA|REPARAR|ICA - 380000|Web HD|Cerrado|2025-05-11|13-05-25|16/05/2025|1
WO0000005219503|160|PANEL DE ALARMAS|REPARAR|LA NEGRITA - 215004|Web HD|Cerrado|2025-05-11|19-05-25|22/05/2025|3
WO0000005219524|71|DETECTOR DE HUMO|REPARAR|ICA - 380000|Web HD|Cerrado|2025-05-11|21-05-25|24/05/2025|1
WO0000005217382|64|CREDENZA|REPARAR|MERCADO DE PRODUCTORES - 191061|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|3
WO0000005217874|188|PUERTA / MAMPARA|REPARAR|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|3
WO0000005217870|41|CAJONERA|REPARAR|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|2
WO0000005217868|41|CAJONERA|REPARAR|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|1
WO0000005218249|92|ESCRITORIO|MANTENIMIENTO|QUILLABAMBA - 505000|Web HD|Cerrado|2025-05-11|13-05-25|16/05/2025|3
WO0000005216861|194|PUERTA/MAMPARA MANIJA|REPARAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|2
WO0000005216818|32|CAJA BUZON|REPARAR|CAMANA - 250000|Web HD|Cerrado|2025-05-11|16-05-25|19/05/2025|3
WO0000005216196|21|BOMBAS DE AGUA|REVISAR|SAN JUAN DE MARCONA - 513000|Web HD|Rechazado|2025-05-11|||1
WO0000005217811|108|FOCO FLOURESCENTES|CAMBIAR|LARAPA - 285005|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|1
WO0000005217387|5|AIRE ACONDICIONADO|REPARAR|VENEZUELA - 191026|Web HD|Cerrado|2025-05-11|12-05-25|15/05/2025|3
WO0000005217389|62|CORTO CIRCUITO|REVISAR|PUNO - 495000|Web HD|Cerrado|2025-05-11|14-05-25|17/05/2025|3
WO0000005216157|22|BOVEDA|APERTURAR|ALFONSO UGARTE - 191089|Web HD|Rechazado|2025-05-11|||1
WO0000005218203|34|CAJA FUERTE|APERTURAR|CHACLACAYO - 191074|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|1
WO0000005217814|108|FOCO FLOURESCENTES|CAMBIAR|LARAPA - 285005|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|2
WO0000005217813|108|FOCO FLOURESCENTES|CAMBIAR|LARAPA - 285005|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|1
WO0000005218238|130|LAVATORIO|REPARAR|ALFONSO UGARTE - 191089|Web HD|Cerrado|2025-05-11|14-05-25|17/05/2025|1
WO0000005217379|139|LONCHERA CERRADURA|DUPLICADO DE LLAVE|MERCADO DE PRODUCTORES - 191061|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|2
WO0000005217383|56|CONTADOR DE BILLETES|REPARAR|CENTRO CIVICO - 191105|Web HD|Cerrado|2025-05-11|13-05-25|16/05/2025|1
WO0000005216869|190|PUERTA / MAMPARA CERRADURA|REEMPLAZAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-05-11|11-05-25|14/05/2025|2
WO0000005221976|31|CAJA / TAPA DE PASO|REVISAR|CHACLACAYO - 191074|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|2
WO0000005223258|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Rechazado|2025-05-12|||1
WO0000005222458|249|TOMACORRIENTES|REVISAR|CUSCO - 285000|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|1
WO0000005222463|107|FOCO DICROICOS|CAMBIAR|QUILLABAMBA - 505000|Web HD|Cerrado|2025-05-12|13-05-25|16/05/2025|1
WO0000005223242|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Rechazado|2025-05-12|||2
WO0000005222489|106|FOCO AHORRADOR|CAMBIAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-12|16-05-25|19/05/2025|3
WO0000005222465|106|FOCO AHORRADOR|CAMBIAR|QUILLABAMBA - 505000|Web HD|Cerrado|2025-05-12|13-05-25|16/05/2025|1
WO0000005223244|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Rechazado|2025-05-12|||2
WO0000005223253|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Rechazado|2025-05-12|||3
WO0000005223255|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Rechazado|2025-05-12|||3
WO0000005223251|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Rechazado|2025-05-12|||1
WO0000005223246|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Rechazado|2025-05-12|||2
WO0000005223248|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Rechazado|2025-05-12|||1
WO0000005223260|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|3
WO0000005221970|240|TECHO /BALDOSAS|CAMBIAR|CHACLACAYO - 191074|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|2
WO0000005221969|108|FOCO FLOURESCENTES|CAMBIAR|CHACLACAYO - 191074|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|2
WO0000005223254|260|VENTILADOR|REPARAR|PUERTO MALDONADO - 485000|Web HD|Rechazado|2025-05-12|||1
WO0000005222757|64|CREDENZA|REPARAR|MUSA - 193050|Web HD|Rechazado|2025-05-12|||3
WO0000005222453|188|PUERTA / MAMPARA|REPARAR|CUSCO - 285000|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|2
WO0000005223661|163|PARED|PINTAR|CHOSICA - 191075|Web HD|Cerrado|2025-05-12|14-05-25|17/05/2025|1
WO0000005222426|5|AIRE ACONDICIONADO|REPARAR|PURUCHUCO - 191020|Web HD|Cerrado|2025-05-12|20-05-25|23/05/2025|2
WO0000005223259|221|SILLAS|REPARAR|PUERTO MALDONADO - 485000|Web HD|Rechazado|2025-05-12|||3
WO0000005223681|206|REFLECTOR / LAMPARAS|CAMBIAR|QUILLABAMBA - 505000|Web HD|Cerrado|2025-05-12|27-05-25|30/05/2025|1
WO0000005223603|206|REFLECTOR / LAMPARAS|CAMBIAR|LARAPA - 285005|Web HD|Cerrado|2025-05-12|27-05-25|30/05/2025|2
WO0000005223296|108|FOCO FLOURESCENTES|CAMBIAR|LARAPA - 285005|Web HD|Cerrado|2025-05-12|18-05-25|21/05/2025|2
WO0000005223659|163|PARED|PINTAR|PISCO - 470000|Web HD|Cerrado|2025-05-12|14-05-25|17/05/2025|2
WO0000005223680|5|AIRE ACONDICIONADO|REPARAR|PUERTO MALDONADO - 485000|Web HD|Cerrado|2025-05-12|04-06-25|07/06/2025|3
WO0000005221978|249|TOMACORRIENTES|REVISAR|CHACLACAYO - 191074|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|2
WO0000005222454|5|AIRE ACONDICIONADO|REPARAR|PUNO - 495000|Web HD|Cerrado|2025-05-12|18-06-25|21/06/2025|2
WO0000005221981|43|CAJONERA CERRADURA|APERTURAR|MARIANO MELGAR - 215014|Web HD|Cerrado|2025-05-12|15-05-25|18/05/2025|2
WO0000005223652|163|PARED|PINTAR|CERRO COLORADO - 215013|Web HD|Cerrado|2025-05-12|15-05-25|18/05/2025|1
WO0000005223650|163|PARED|PINTAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-12|15-05-25|18/05/2025|2
WO0000005223656|163|PARED|PINTAR|UMACOLLO - 215009|Web HD|Cerrado|2025-05-12|15-05-25|18/05/2025|2
WO0000005223228|69|DETECTOR DE BILLETES|REPARAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-12|15-05-25|18/05/2025|2
WO0000005221911|159|PANEL CONTRA INCENDIO|REPARAR|CONSTRUCTORES - 193005|Web HD|Cerrado|2025-05-12|19-05-25|22/05/2025|2
WO0000005221444|122|INODORO TANQUE DE AGUA|REVISAR|HUAYCAN - 191085|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|3
WO0000005223256|5|AIRE ACONDICIONADO|REGULAR|PUERTO MALDONADO - 485000|Web HD|Cerrado|2025-05-12|05-06-25|08/06/2025|3
WO0000005223655|163|PARED|PINTAR|QUILLABAMBA - 505000|Web HD|Cerrado|2025-05-12|15-05-25|18/05/2025|2
WO0000005223698|163|PARED|PINTAR|SICUANI - 533000|Web HD|Cerrado|2025-05-12|15-05-25|18/05/2025|3
WO0000005221944|190|PUERTA / MAMPARA CERRADURA|REEMPLAZAR|LA NEGRITA - 215004|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|3
WO0000005221992|117|IMANTADO|CONFECCIONAR|JULIACA - 405000|Web HD|Rechazado|2025-05-12|||3
WO0000005222471|240|TECHO /BALDOSAS|REVISAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-12|22-06-25|25/06/2025|3
WO0000005222486|206|REFLECTOR / LAMPARAS|REVISAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-12|16-05-25|19/05/2025|2
WO0000005222446|108|FOCO FLOURESCENTES|CAMBIAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|3
WO0000005224125|6|ALFOMBRAS|REPARAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-05-12|20-05-25|23/05/2025|2
WO0000005222449|108|FOCO FLOURESCENTES|CAMBIAR|AREQUIPA - 215000|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|2
WO0000005221941|240|TECHO /BALDOSAS|CAMBIAR|LA NEGRITA - 215004|Web HD|Cerrado|2025-05-12|12-05-25|15/05/2025|3
WO0000005223261|194|PUERTA/MAMPARA MANIJA|REPARAR|PUERTO MALDONADO - 485000|Web HD|Terminado|2025-05-12|20-05-25|20/05/2025|3
WO0000005223266|57|CONTADOR DE MONEDAS|REPARAR|CUSCO - 285000|Web HD|Terminado|2025-05-12|20-05-25|20/05/2025|2
WO0000005228060|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-05-13|15-05-25|18/05/2025|2
WO0000005228073|57|CONTADOR DE MONEDAS|REPARAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-05-13|15-05-25|18/05/2025|1
WO0000005229082|252|TUBERIA DE DESAGUE|REPARAR|SAN ROMAN - 405003|Web HD|Cerrado|2025-05-13|21-05-25|27/05/2025|3
WO0000005228052|65|CREDENZA CERRADURA|REEMPLAZAR|CHACLACAYO - 191074|Web HD|Cerrado|2025-05-13|19-05-25|22/05/2025|3
WO0000005229414|190|PUERTA / MAMPARA CERRADURA|APERTURAR|LA FONTANA - 193054|Web HD|Cerrado|2025-05-13|13-05-25|16/05/2025|1
